Source,Target,Type,Id,Label,Weight
Canis latrans,Lepus californicus,Directed,0,,1
Canis latrans,Sylvilagus audubonii,Directed,1,,1
Canis latrans,Dipodomys deserti,Directed,2,,1
Canis latrans,Dipodomys merriami,Directed,3,,1
Canis latrans,Dipodomys microps,Directed,4,,1
Canis latrans,Chaetodipus penicillatus,Directed,5,,1
Canis latrans,Chaetodipus formosus,Directed,6,,1
Canis latrans,Xerospermophilus tereticaudus,Directed,7,,1
Canis latrans,Xerospermophilus mohavensis,Directed,8,,1
Canis latrans,Ammospermophilus leucurus,Directed,9,,1
Canis latrans,Thomomys bottae,Directed,10,,1
Canis latrans,Ovis canadensis,Directed,11,,1
Canis latrans,Urocyon cinereoargenteus,Directed,12,,1
Canis latrans,Antilocapra americana,Directed,13,,1
Ammospermophilus leucurus,Uta stansburiana,Directed,14,,1
Ammospermophilus leucurus,Aspidoscelis tigris,Directed,15,,1
Ammospermophilus leucurus,Callisaurus draconoides,Directed,16,,1
Ammospermophilus leucurus,Phrynosoma platyrhinos,Directed,17,,1
Ammospermophilus leucurus,Ammospermophilus leucurus,Directed,18,,1
Ammospermophilus leucurus,Xerospermophilus tereticaudus,Directed,19,,1
Ammospermophilus leucurus,Dipodomys merriami,Directed,20,,1
Vulpes macrotis,Sylvilagus audubonii,Directed,21,,1
Vulpes macrotis,Lepus californicus,Directed,22,,1
Bassariscus astutus,Campylorhynchus brunneicapillus,Directed,23,,1
Bassariscus astutus,Colaptes auratus,Directed,24,,1
Bassariscus astutus,Junco hyemalis,Directed,25,,1
Bassariscus astutus,Otospermophilus variegatus,Directed,26,,1
Lynx rufus,Lepus californicus,Directed,27,,1
Lynx rufus,Sylvilagus audubonii,Directed,28,,1
Lynx rufus,Otospermophilus variegatus,Directed,29,,1
Lynx rufus,Thomomys bottae,Directed,30,,1
Lynx rufus,Callipepla gambelii,Directed,31,,1
Lynx rufus,Urocyon cinereoargenteus,Directed,32,,1
Puma concolor,Equus asinus,Directed,33,,1
Puma concolor,Ovis canadensis,Directed,34,,1
Puma concolor,Equus caballus,Directed,35,,1
Puma concolor,Odocoileus hemionus,Directed,36,,1
Puma concolor,Canis latrans,Directed,37,,1
Puma concolor,Lynx rufus,Directed,38,,1
Puma concolor,Urocyon cinereoargenteus,Directed,39,,1
Puma concolor,Taxidea taxus,Directed,40,,1
Taxidea taxus,Athene cunicularia,Directed,41,,1
Antrozous pallidus,Cophosaurus texanus,Directed,42,,1
Bubo virginianus,Urocyon cinereoargenteus,Directed,43,,1
Aquila chrysaetos,Urocyon cinereoargenteus,Directed,44,,1
Tamias panamintinus,Sceloporus occidentalis,Directed,45,,1
Canis latrans,Solanales,Directed,46,,1
Ammospermophilus leucurus,Ephedrales,Directed,47,,1
Ammospermophilus leucurus,Asparagales,Directed,48,,1
Ammospermophilus leucurus,Caryophyllales,Directed,49,,1
Ammospermophilus leucurus,Fabales,Directed,50,,1
Ammospermophilus leucurus,Rosales,Directed,51,,1
Ammospermophilus leucurus,Pinales,Directed,52,,1
Ammospermophilus leucurus,Poales,Directed,53,,1
Ammospermophilus leucurus,Solanales,Directed,54,,1
Ammospermophilus leucurus,Boraginales,Directed,55,,1
Ammospermophilus leucurus,Myrtales,Directed,56,,1
Ammospermophilus leucurus,Geraniales,Directed,57,,1
Ammospermophilus leucurus,Asterales,Directed,58,,1
Ammospermophilus leucurus,Brassicales,Directed,59,,1
Ammospermophilus leucurus,Malpighiales,Directed,60,,1
Antilocapra americana,Rosales,Directed,61,,1
Antilocapra americana,Asterales,Directed,62,,1
Antilocapra americana,Ephedrales,Directed,63,,1
Antilocapra americana,Pinales,Directed,64,,1
Antilocapra americana,Caryophyllales,Directed,65,,1
Antilocapra americana,Malvales,Directed,66,,1
Antilocapra americana,Myrtales,Directed,67,,1
Antilocapra americana,Malpighiales,Directed,68,,1
Antilocapra americana,Lamiales,Directed,69,,1
Antilocapra americana,Boraginales,Directed,70,,1
Sylvilagus audubonii,Poales,Directed,71,,1
Sylvilagus audubonii,Fabales,Directed,72,,1
Sylvilagus audubonii,Lamiales,Directed,73,,1
Sylvilagus audubonii,Caryophyllales,Directed,74,,1
Sylvilagus audubonii,Boraginales,Directed,75,,1
Sylvilagus audubonii,Geraniales,Directed,76,,1
Sylvilagus audubonii,Malvales,Directed,77,,1
Sylvilagus audubonii,Asterales,Directed,78,,1
Sylvilagus audubonii,Asparagales,Directed,79,,1
Sylvilagus audubonii,Solanales,Directed,80,,1
Sylvilagus audubonii,Rosales,Directed,81,,1
Sylvilagus audubonii,Brassicales,Directed,82,,1
Sylvilagus audubonii,Crossosomatales,Directed,83,,1
Bassariscus astutus,Pinales,Directed,84,,1
Bassariscus astutus,Caryophyllales,Directed,85,,1
Bassariscus astutus,Fagales,Directed,86,,1
Dipodomys merriami,Caryophyllales,Directed,87,,1
Dipodomys merriami,Asterales,Directed,88,,1
Dipodomys merriami,Poales,Directed,89,,1
Dipodomys merriami,Fabales,Directed,90,,1
Dipodomys merriami,Malpighiales,Directed,91,,1
Dipodomys merriami,Boraginales,Directed,92,,1
Dipodomys merriami,Geraniales,Directed,93,,1
Dipodomys merriami,Ericales,Directed,94,,1
Dipodomys merriami,Zygophyllales,Directed,95,,1
Dipodomys merriami,Myrtales,Directed,96,,1
Dipodomys merriami,Brassicales,Directed,97,,1
Dipodomys merriami,Ephedrales,Directed,98,,1
Dipodomys merriami,Solanales,Directed,99,,1
Dipodomys merriami,Lamiales,Directed,100,,1
Dipodomys merriami,Asparagales,Directed,101,,1
Lepus californicus,Poales,Directed,102,,1
Lepus californicus,Caryophyllales,Directed,103,,1
Lepus californicus,Zygophyllales,Directed,104,,1
Lepus californicus,Rosales,Directed,105,,1
Lepus californicus,Ephedrales,Directed,106,,1
Lepus californicus,Malvales,Directed,107,,1
Lepus californicus,Solanales,Directed,108,,1
Xerospermophilus mohavensis,Fabales,Directed,109,,1
Xerospermophilus mohavensis,Caryophyllales,Directed,110,,1
Xerospermophilus mohavensis,Poales,Directed,111,,1
Xerospermophilus mohavensis,Malvales,Directed,112,,1
Xerospermophilus mohavensis,Zygophyllales,Directed,113,,1
Xerospermophilus mohavensis,Ericales,Directed,114,,1
Xerospermophilus mohavensis,Solanales,Directed,115,,1
Xerospermophilus mohavensis,Boraginales,Directed,116,,1
Xerospermophilus mohavensis,Asterales,Directed,117,,1
Xerospermophilus mohavensis,Asparagales,Directed,118,,1
Ovis canadensis,Lamiales,Directed,119,,1
Ovis canadensis,Poales,Directed,120,,1
Ovis canadensis,Zygophyllales,Directed,121,,1
Ovis canadensis,Fabales,Directed,122,,1
Ovis canadensis,Malvales,Directed,123,,1
Ovis canadensis,Caryophyllales,Directed,124,,1
Ovis canadensis,Ephedrales,Directed,125,,1
Ovis canadensis,Gentianales,Directed,126,,1
Ovis canadensis,Polypodiales,Directed,127,,1
Ovis canadensis,Asterales,Directed,128,,1
Ovis canadensis,Boraginales,Directed,129,,1
Ovis canadensis,Solanales,Directed,130,,1
Ovis canadensis,Malpighiales,Directed,131,,1
Ovis canadensis,Ericales,Directed,132,,1
Peromyscus truei,Poales,Directed,133,,1
Peromyscus truei,Asparagales,Directed,134,,1
Peromyscus truei,Asterales,Directed,135,,1
Peromyscus truei,Fabales,Directed,136,,1
Peromyscus truei,Caryophyllales,Directed,137,,1
Peromyscus truei,Brassicales,Directed,138,,1
Peromyscus truei,Malpighiales,Directed,139,,1
Peromyscus truei,Rosales,Directed,140,,1
Peromyscus truei,Ericales,Directed,141,,1
Peromyscus truei,Pinales,Directed,142,,1
Peromyscus truei,Myrtales,Directed,143,,1
Peromyscus truei,Fagales,Directed,144,,1
Peromyscus truei,Sapindales,Directed,145,,1
Neotoma lepida,Asparagales,Directed,146,,1
Neotoma lepida,Caryophyllales,Directed,147,,1
Neotoma lepida,Zygophyllales,Directed,148,,1
Chaetodipus formosus,Poales,Directed,149,,1
Chaetodipus formosus,Asterales,Directed,150,,1
Chaetodipus formosus,Fabales,Directed,151,,1
Chaetodipus formosus,Ephedrales,Directed,152,,1
Chaetodipus formosus,Geraniales,Directed,153,,1
Chaetodipus formosus,Myrtales,Directed,154,,1
Chaetodipus formosus,Boraginales,Directed,155,,1
Chaetodipus formosus,Lamiales,Directed,156,,1
Chaetodipus formosus,Malvales,Directed,157,,1
Thomomys bottae,Poales,Directed,158,,1
Thomomys bottae,Caryophyllales,Directed,159,,1
Thomomys bottae,Rosales,Directed,160,,1
Thomomys bottae,Boraginales,Directed,161,,1
Thomomys bottae,Ranunculales,Directed,162,,1
Thomomys bottae,Asterales,Directed,163,,1
